OP Code,Instruction,Args,Description
0,MOV,"r, r",
1,MOV,"r, i",
2,MOV,"r, rp",
3,MOV,"r, ip",
4,MOV,"rp, r",
5,MOV,"rp, i",
6,MOV,"ip, r",
7,MOV,"ip, i",
8,BMOV,"ip, r",Move byte sized value
9,BMOV,"rp, r",
a,BMOV,"r, ip",
b,BMOV,"r, rp",
c,SMOV,"ip, r",Move short (16bit) sized value
d,SMOV,"rp, r",
e,SMOV,"r, ip",
f,SMOV,"r, rp",
10,ADD,"r, r",
11,ADD,"r, i",
12,SUB,"r, r",
13,SUB,"r, i",
14,UMUL,"r, r",
15,UMUL,"r, i",
16,IMUL,"r, r",Signed mult
17,IMUL,"r, i",Signed mult
18,UDIV,"r, r","First arg is result (floor), second arg is remainder"
19,IDIV,"r, r","Signed div, First arg is result (floor), second arg is remainder"
1a,INT,rb,Masks r with 0xFF
1b,INT,i,
1c,PUSH,r,
1d,PUSH,i,
1e,POP,r,
1f,OR,"r, r",
20,OR,"r, i",
21,AND,"r, r",
22,AND,"r, i",
23,XOR,"r, r",
24,XOR,"r, i",
25,NOT,r,
26,JMP,"r, i",moves ip to r + i and if r is 0xFF then just move to i
27,CMP,"r, r",
28,CMP,"r, i",
29,CMP,"i, r",
2a,CMP,"i, i",silly
2b,"JZ JE","r, i",jump if zero flag (also if numbers are equal)
2c,"JNZ JNE","r, i",alias JNE
31,JUL,"r, i",Unsigned <
32,JULE,"r, i",Unsigned <=
33,JUG,"r, i",Unsigned >
34,JUGE,"r, i",Unsigned >=
35,JIL,"r, i",Signed <
36,JILE,"r, i",Signed <=
37,JIG,"r, i",Signed >
38,JIGE,"r, i",Signed >=
39,CALL,"r, i",
3a,RET, ,
3b,CPY,"r, r","source, length, r0 = destination"
3c,CPY,"r, i",
3d,CPY,"i, r",
3e,CPY,"i, i",
