Interrupt ID,Name,Args,Handleable,Description
0,Page Fault,stack 32 bit pointer - accessed memory,true,"Memory could not be accessed (out of bounds, or forbidden)"
1,Invalid Instruction,"",true,Instruction opcode or arguments were invalid
2,Divide by zero,,true,Tried to divide by zero
3,RESERVED,,,
4,RESERVED,,,
5,RESERVED,,,
6,RESERVED,,,
7,RESERVED,,,
8,RESERVED,,,
9,RESERVED,,,
a,RESERVED,,,
b,RESERVED,,,
c,RESERVED,,,
d,RESERVED,,,
e,RESERVED,,,
f,RESERVED,,,
70,Receive Input,"r1 - device id, r2 - input type, r3 - value",true,
80,Write to sout,r1 - pointer to string (null terminated),false,
81,Halt,,false,Pause execution permanently
82,Shutdown,,false,Poweroff
83,Reset,,false,Restart (ip=0)
84,Get Display Buf Start,,false,Returns the start address of the display buffer in r0
85,Get Uptime MSEC,,false,Returns the uptime in milliseconds in r0
86,Refresh Screen,,false,Update the display with new data in the display buffer
90,DEBUG: Print Number,r1 - number to print,false,"Prints a number with a \n, only possible in debug mode"
